var,importance
WPOL,1.9916367e-06
StsC,1.6254207e-06
maxsF,1.3042816e-06
SHdCH2,9.789937e-07
minHdNH,3.230139e-07
nP,2.833848e-07
StN,2.8014065e-07
minsLi,0.0
ETA_dPsi_B,0.0
ndsssAs,0.0
nddsAs,0.0
nsssssAs,0.0
nsSeH,0.0
ndSe,0.0
nssSe,0.0
naaSe,0.0
ETA_dPsi_A,0.0
nssAsH,0.0
ndssSe,0.0
nssssssSe,0.0
nddssSe,0.0
nsBr,0.0
nsSnH3,0.0
nssSnH2,0.0
nsssSnH,0.0
nsssAs,0.0
nssssGe,0.0
nsAsH2,0.0
nsSH,0.0
nssssSi,0.0
nsPH2,0.0
nssPH,0.0
nsssP,0.0
ndsssP,0.0
nddsP,0.0
nsssssP,0.0
ETA_Eta_R_L,0.0
nssS,0.0
nsI,0.0
ndssS,0.0
nddssS,0.0
nssssssS,0.0
nSm,0.0
nsCl,0.0
nsGeH3,0.0
nssGeH2,0.0
nsssGeH,0.0
nssssSn,0.0
nsPbH3,0.0
ETA_dAlpha_B,0.0
maxsssSnH,0.0
maxsSnH3,0.0
maxsBr,0.0
maxddssSe,0.0
maxssssssSe,0.0
maxdssSe,0.0
maxaaSe,0.0
maxssSe,0.0
maxdSe,0.0
maxsSeH,0.0
maxsssssAs,0.0
maxddsAs,0.0
maxdsssAs,0.0
maxsssAs,0.0
maxssAsH,0.0
maxsAsH2,0.0
maxssssGe,0.0
maxsssGeH,0.0
maxssSnH2,0.0
maxssssSn,0.0
ETA_dAlpha_A,0.0
maxsI,0.0
nssSiH2,0.0
nssPbH2,0.0
nsssPbH,0.0
nssssPb,0.0
SHdNH,0.0
SHsSH,0.0
SHsNH3p,0.0
SHssNH2p,0.0
SHsssNHp,0.0
SHtCH,0.0
SHCHnX,0.0
SHmisc,0.0
SsLi,0.0
maxssssPb,0.0
maxsssPbH,0.0
maxssPbH2,0.0
maxsPbH3,0.0
nsssSiH,0.0
nsF,0.0
nsSiH3,0.0
nF6Ring,0.0
nHsSH,0.0
nFG12Ring,0.0
nF12Ring,0.0
nF11Ring,0.0
nHsNH2,0.0
nF9Ring,0.0
nHssNH,0.0
nF7Ring,0.0
nF5Ring,0.0
nT5Ring,0.0
nF4Ring,0.0
nHaaNH,0.0
nG12Ring,0.0
n12Ring,0.0
n11Ring,0.0
n10Ring,0.0
n9Ring,0.0
nHsNH3p,0.0
nT4Ring,0.0
nT6Ring,0.0
nHssNH2p,0.0
VCH-4,0.0
nB,0.0
nBondsQ,0.0
C1SP1,0.0
C2SP1,0.0
SCH-3,0.0
SCH-4,0.0
VCH-3,0.0
VAdjMat,0.0
nwHBd,0.0
nT7Ring,0.0
nHsOH,0.0
nHdNH,0.0
nTG12Ring,0.0
nT12Ring,0.0
nT11Ring,0.0
nT10Ring,0.0
nT9Ring,0.0
nT8Ring,0.0
n7Ring,0.0
n5Ring,0.0
maxsGeH3,0.0
ntN,0.0
ntsC,0.0
nssssC,0.0
nsNH3p,0.0
nsNH2,0.0
nssNH2p,0.0
ndNH,0.0
nssNH,0.0
naaNH,0.0
nsssNHp,0.0
naaCH,0.0
ndsN,0.0
nddsN,0.0
naasN,0.0
nssssNp,0.0
nsOH,0.0
nHBDon_Lipinski,0.0
naOm,0.0
nsOm,0.0
nddC,0.0
ndsCH,0.0
n4Ring,0.0
nsLi,0.0
n3Ring,0.0
nRing,0.0
nHsssNHp,0.0
nHtCH,0.0
nHdCH2,0.0
nHCHnX,0.0
nHAvin,0.0
nHmisc,0.0
nssBe,0.0
MDEC-44,0.0
nssssBem,0.0
nsBH2,0.0
nssBH,0.0
nsssB,0.0
MDEN-11,0.0
nssssBm,0.0
ndCH2,0.0
ntCH,0.0
maxssGeH2,0.0
