var,importance
MDEC-11,0.18934842694068243
minHdsCH,0.17179096595795648
nHCsatu,0.16606339875576734
FMF,0.1635745373132973
n6Ring,0.14586533978471597
SCH-7,0.1355493190105872
ETA_Shape_P,0.12947481699698024
maxHBint6,0.12384021363419007
SP-7,0.1223213274679994
ndsCH,0.11993852869160099
SsOH,0.1136439404488372
VP-6,0.11146502932588105
nsssCH,0.11048150038706342
SC-3,0.10808232099602906
nC,0.10561999326523118
VC-3,0.10543679537766283
maxaasC,0.09293088721120472
ALogp2,0.09199465945109285
maxdsN,0.09162402027412915
SdsN,0.0900897605669935
maxHaaCH,0.08966290869903006
minHBa,0.08833561952495543
nTRing,0.08778854304724479
LipinskiFailures,0.08645340439038401
nHBAcc,0.08310276102539808
VP-7,0.08282527231741443
nT6Ring,0.08172524052184219
ETA_EtaP_L,0.07927181975681513
SdssC,0.07868812069967328
maxwHBa,0.07288066825498372
nsOH,0.0724856036328916
VPC-6,0.06977870231921694
C2SP3,0.06942633715560424
maxssCH2,0.06540004499153756
MAXDN,0.06391316046217334
VP-4,0.06290745764364757
MDEO-12,0.06239564977829999
maxsCH3,0.06186813506930433
nN,0.059775746861963006
VP-5,0.058188432713134716
apol,0.05779613410927537
WTPT-4,0.05689727928230471
ETA_EtaP_F,0.05643183468540989
SCH-6,0.05541271066914579
nBase,0.055259351501553304
CrippenLogP,0.055199890633326955
ETA_EtaP_F_L,0.054984561744249795
maxHCsats,0.05359540827151424
ETA_BetaP_s,0.05092287065600611
MLogP,0.05085225134285863
nHBDon,0.048696045301883185
nssCH2,0.04816091099791044
minHsOH,0.0480689815983178
minsOH,0.048040960377859765
ETA_Eta_F,0.04690367008974702
mindsN,0.04686143025491283
maxdsCH,0.0468177902068075
VC-5,0.04466898204522547
maxsssN,0.04389794914793457
hmin,0.04322660028829546
SHBint6,0.04129667089601188
maxaaCH,0.041116736645850825
BCUTp-1l,0.04051623455307867
MDEC-34,0.040118544284583016
SdO,0.039730079174128595
maxHCsatu,0.03639770363164512
minssCH2,0.03537261065622289
C3SP3,0.035167168329520854
maxHdsCH,0.03451654241129537
maxaaaC,0.03310119797178036
SHBint7,0.03114304373706635
nBondsS2,0.031040841828596892
ETA_EtaP,0.030892060799948846
sumI,0.030650029219239292
minHBint6,0.029715014704442322
SsssCH,0.028752661279178776
maxHBd,0.027489849428772264
ATSc3,0.027461173487038998
SPC-4,0.027247240920905004
SHsOH,0.026887277861273547
BCUTp-1h,0.026633631493662144
BCUTw-1l,0.026592652423716875
nT5Ring,0.026399390919364548
SHCsatu,0.026283189061600397
ETA_dAlpha_B,0.026125272151352515
SdsCH,0.025789926354328776
ETA_Eta_F_L,0.024657457110240068
C3SP2,0.024201667628357657
MLFER_S,0.02412165510199461
mindS,0.02408786946933049
MLFER_L,0.02254207236147871
PetitjeanNumber,0.02207407420455085
MDEC-13,0.02186938385005675
minHBint7,0.02098135621862594
minHCsatu,0.02061146576657202
ATSm4,0.020044280200823876
SssNH,0.020038606740502923
VP-3,0.019966285730339556
nRing,0.019785557230207078
gmax,0.019426707291106158
nHBint4,0.019132392124165863
SHBint4,0.018908369303832964
maxdO,0.01872913688067385
minHssNH,0.018070052651051226
DELS,0.017332775822029897
ATSp2,0.017214452900873405
minssNH,0.01720256442990785
SHaaCH,0.016705589307984072
SaaCH,0.016511533792645257
ETA_dBeta,0.016165000566263753
VP-0,0.016107802972060412
maxsOH,0.015912120359967283
maxHBint4,0.015752531066559453
SaaO,0.015682849038159533
minHBint8,0.015323188864305526
minHBint10,0.01516464706780204
maxHother,0.015131868623769362
minHother,0.015119756023205954
ETA_BetaP_ns_d,0.01511586613423981
ATSp1,0.0148804663962261
ETA_dEpsilon_D,0.014498324345115951
SwHBa,0.014212525928566661
SP-2,0.014026903310712976
hmax,0.013653733630932313
SHBint10,0.013314578174640095
maxdssC,0.013062529947424533
SC-5,0.012760688461948277
minHaaCH,0.012613165236820894
maxHsOH,0.012445293026470435
WTPT-5,0.01213975672593508
MDEC-22,0.011836906263584981
minaaCH,0.011811404045651107
nHBAcc3,0.011532486548661746
